,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Address,Price
0,66547.01645362453,5.846095299515025,6.847298109942501,4.13,27850.822901481988,"2288 Gary Square Apt. 812
West Jose, PR 78536-1815",1094879.7734913756
1,53722.00859945353,6.401391354926232,7.78776441960636,3.3,47649.22466456652,"USS Williams
FPO AE 65283",1300389.3508202112
2,64838.49289874493,6.437157061821816,8.699543872833365,4.02,32921.0100678544,"Unit 2193 Box 7909
DPO AA 47323-2101",1382172.2937066122
3,67097.09212004836,6.086754299256453,7.211962930677832,3.05,27191.50687743901,"052 Thomas Square Apt. 034
Wrightmouth, OR 04272",1027427.8619974016
4,75245.46543563096,8.167820350087936,7.420099548237411,3.42,37410.66992826226,"879 Martha Route Suite 031
New Nichole, VI 60708",1562887.224519957
5,60029.43263995295,5.714878537856567,7.990513702020805,6.01,32818.06713289881,"6194 Rios Spring
North Jeanette, WI 16894-6620",1005087.361039984
6,50794.02858575888,6.724739782981378,8.002862630776745,6.07,39943.63819097858,"USNS Berg
FPO AA 83492",1156979.9154217213
7,64455.77910236248,6.152455871210084,7.425795787843709,6.14,29066.217805677403,"Unit 3025 Box 1270
DPO AP 46231-3142",1095727.6725883686
8,65566.35691483965,8.082879393187545,7.302751132163054,6.15,30117.17187850544,"05486 Barnes Motorway Suite 084
Lake John, UT 31770",1357575.8516151062
9,65907.94667875711,5.506412845218173,5.727202198568503,3.39,33303.543103477146,"423 Destiny Fort
Gravesmouth, TN 13035-8269",698457.6776499674
10,77049.01998597258,5.6148538267499495,5.657957745852972,2.17,19146.68419271625,"10594 Lee Burgs
South Daniel, NV 82349",812512.2412531745
11,65687.10668176552,7.036174700554176,6.574065780115001,4.41,17386.475952392157,"608 Wright Oval Apt. 996
South James, AL 79256",1122320.9326301892
12,75250.20708354558,6.6190058438081385,6.5002339294460825,4.0,34098.374800702186,"36847 George Turnpike Apt. 614
Wardside, FL 81978-4911",1418723.656984229
13,57876.99536422139,3.485869966514756,5.961239758789812,4.25,36800.46042486138,"367 Morgan Lodge Suite 363
West Laurenton, PR 70182",579710.10976594
14,54700.29345575508,6.765221600349139,4.968281480737257,4.34,46224.49329118832,"08283 Jim Drives Suite 982
East Christinafurt, WA 28832-9229",1125230.4502937691
15,89112.70262747677,6.56744067647224,8.015034156691021,3.46,29673.022640316405,"2948 Andrews Cliffs Apt. 191
Jessicaview, GU 74128",1852338.4692459644
16,66477.26279229036,6.982151725125714,6.038487979300023,2.37,32458.98669901376,"95779 Walton Square
Bakershire, PR 49599",1124635.9316285902
17,84040.50024076694,6.322338023741593,5.275145433450397,2.24,44711.08062058793,"52318 David Plain
Port Marcusshire, ND 91199",1609092.3179234052
18,66629.25455604188,7.593559141490211,7.073690936471975,4.48,37261.318277668965,"Unit 9463 Box 0963
DPO AE 49984-2796",1381117.7013514298
19,64608.22230776664,4.057007399777069,6.3824720301330045,4.43,36947.259039664976,"USNS Taylor
FPO AE 70099-7063",697840.5674771494
20,82264.37267772671,5.557317233690862,8.106417159937168,5.05,34066.609045555386,"2277 Michelle Extension
Amandaborough, NY 80022-6654",1446978.8599043884
21,73411.34234622207,6.073571969943877,9.29557101552958,5.1,28435.15125180109,"31050 Cole Meadow Apt. 478
New Jeffreyside, KS 41326-5833",1640359.139229545
22,53306.92213650367,4.632267718361729,6.194794324882633,2.15,39063.33871389049,"9643 Oscar Valley
North Richardstad, ME 14629-9980",553077.2126120757
23,57873.65898220737,7.311920547986264,7.6793061241963985,3.32,28510.41410047265,"970 Branch Forest
South John, FL 35214-9934",1200401.9889419326
24,87113.7922030133,5.360632459652583,6.384181936457624,2.42,31172.880167409294,"206 Hays Underpass Suite 167
Zacharymouth, ID 28214",1327975.2487410752
25,69099.4035122311,5.600101650690401,5.408604779515621,3.49,37540.31002608573,"136 Linda Manor
West James, MI 99577",921396.9752541516
26,72392.88503561032,5.581331967610668,7.081653163943845,4.23,23997.45355405209,"24595 Christopher Junction
New Roberttown, VA 17329-5074",1014430.120566306
27,54407.07784962707,6.402339097115496,7.423947630561424,3.3,36707.941633054936,"USNS Gray
FPO AE 84650",1139959.9327416266
28,80256.98118744831,6.4112217810521255,5.279549359619933,2.39,40240.57931741727,"91627 Robert Shoal Suite 118
Sharonport, DE 91527-7302",1232992.8408057515
29,59078.514287125945,6.042080098723272,5.921795630759092,4.1,34655.93990709911,"52556 Peter Roads Apt. 021
Josephton, GA 38105-4827",921238.3583329738
30,69336.42523436133,6.757390576094763,6.1248009886611054,2.29,37592.845062318345,"5310 Watkins Burg
West Kimberlyton, MO 92895",1181637.9493143407
31,62500.96326291021,4.800144155545548,7.39791547194109,6.07,38180.26452255221,"40991 Tara Forges
South Ronald, NC 20408-0652",877822.6628716969
32,67470.51038133014,4.758460328840356,6.862994371844202,2.33,32200.51533875857,"85776 John Ford Apt. 435
Kyleton, AR 58566-5621",968082.1645233814
33,51796.13357752653,6.248382613471702,7.1793538831681,6.43,31178.437996690474,"02229 Barnes Fields Suite 576
North Tyler, KY 96565-5296",891468.2132791065
34,66698.24733240019,5.392094464520575,6.996383045073816,4.08,40558.23901698502,"327 Michael River
Harringtonbury, TN 48100-3204",1165875.3063766025
