,Price
0,1339096.0772451318
1,1251794.178836864
2,1340094.9662054193
3,1431507.6234279652
4,1042373.5240960824
5,1555320.5000011197
6,1250882.2917570665
7,1039380.7224796106
8,832475.189015321
9,1420648.2808698171
10,613788.3219895302
11,1702406.0389352096
12,913587.0974474044
13,1675557.2712307854
14,1279160.9875854698
15,949684.4101807602
16,1372994.2901084968
17,1148563.903581492
18,846939.4287842512
19,1002192.5820706816
20,1072253.833655116
21,973197.775347568
22,1538985.1890983768
23,1135079.3452920208
24,1618721.1384298413
25,1158742.829939291
26,1268421.104189113
27,985749.787356535
28,709348.2237339056
29,1869313.1069877336
30,1476277.527374216
31,1638265.394523659
32,1431406.512968221
33,1253609.7640408725
34,1499356.1199718774
35,1798232.8027843037
36,1506651.1565735163
37,680982.7688221958
38,1745516.1706263402
39,1288069.226448916
40,1524106.964721467
41,940229.2343302772
42,1577017.7600015546
43,858685.5659249562
44,1161995.7281770946
45,1285312.24421709
46,1446597.122057405
47,1434323.8251566691
48,1537897.1181187208
49,1296223.7064925262
50,1434835.9531418546
51,1475349.5520184026
52,1432318.469639134
53,1074824.8164886816
54,1588549.5007319287
55,1879416.222452312
56,1052185.1759533966
57,1213382.2226364696
58,1222689.5233795908
59,1549303.4985165622
60,867082.8427607968
61,646198.2245230615
62,1520371.0075154612
63,948366.9678974455
64,743999.8191601974
65,1640185.798296818
66,1304284.226006098
67,1002690.8993032306
68,1678347.5275379843
69,1433493.802219979
70,922478.9145343913
71,1687998.9329604746
72,1456486.292963147
73,984311.774539692
74,587007.8442399998
75,1467959.5287906835
76,1096846.0864932952
77,1108406.7859168318
78,1441882.5217055138
79,668183.5098529167
80,1660295.795958334
81,1377113.0261359508
82,827268.2274099344
83,493350.031167589
84,1492612.189361544
85,614700.7371485097
86,662630.3439401882
87,1130415.4095168563
88,1335830.7924195908
89,1326837.455537671
90,1299327.433109264
91,1311765.1414692528
92,734827.50801229
93,1105105.053319637
94,1239459.8148165469
95,789632.6932079874
96,1063069.916425088
97,951781.3078080096
98,1487849.8761712434
99,1492011.495862129
100,541953.9056802422
101,1160146.171270086
102,1276494.7645634962
103,1939603.1309040168
104,2469065.5941747027
105,841122.8823806869
106,1186441.756443983
107,885611.5782624667
108,1902814.526796328
109,1580691.6168731612
110,1609581.8042977294
111,1179440.832253225
112,1785374.2920607603
113,1056984.1817528317
114,973096.358177584
115,1521527.0421970466
116,729315.3749195363
117,1347234.0930270965
118,1253370.1489213388
119,1444572.9714972137
120,1650342.1306428087
121,1563083.336016557
122,1551390.3787238726
123,1442945.1449720778
124,1788515.8176129346
125,1272180.196538667
126,631712.7237814899
127,899186.156938855
128,1316793.5692341109
129,1574279.8139775426
130,1410814.9846924148
131,1197929.7431864964
132,1608726.680546448
133,1333865.4377201414
134,1262187.0415469888
135,1543966.4264482334
136,1673538.1686839648
137,1409943.302994841
138,813415.1280677513
139,1195986.2988348743
140,1948654.9355364973
141,1034180.9492611092
142,1843979.3043240043
143,1108912.5146293468
144,1976170.089433933
145,907530.175313622
146,1012768.7562290148
147,1206931.6504526157
148,1397564.1562824403
149,1495384.003668785
150,990893.1600715704
151,975005.7736603534
152,1166333.8865033598
153,1410010.9940005562
154,1383766.0819453795
155,798869.5328331633
156,1603627.2802189654
157,922054.1319412548
158,2030910.6153455232
159,1230149.136786441
160,1325531.154513243
161,1273629.1243166476
162,962028.7007646448
163,1989672.5239908115
164,1416965.9786882403
