,SalePrice
0,154500
1,325000
2,115000
3,159000
4,315500
5,75500
6,311500
7,146000
8,84500
9,135500
10,145000
11,130000
12,81000
13,214000
14,181000
15,134500
16,183500
17,135000
18,118400
19,226000
20,155000
21,210000
22,173500
23,129000
24,192000
25,153900
26,181134
27,141000
28,181000
29,208900
30,127000
31,284000
32,200500
33,135750
34,255000
35,140000
36,138000
37,219500
38,310000
39,97000
40,114500
41,205000
42,119500
43,253293
44,128500
45,117500
46,115000
47,127000
48,451950
49,144000
50,119000
51,196000
52,115000
53,287000
54,144500
55,260000
56,213000
57,175000
58,107000
59,107500
60,68500
61,154000
62,317000
63,264132
64,283463
65,243000
66,109000
67,305000
68,93500
69,176000
70,118858
71,134000
72,109008
73,93500
74,611657
75,173000
76,348000
77,341000
78,141000
79,124900
80,118000
81,67000
82,113000
83,91300
84,149500
85,133000
86,266000
87,190000
88,155900
89,155835
90,153500
91,152000
92,124500
93,301000
94,136500
95,169990
96,205000
97,183900
98,204900
99,260000
100,163500
101,224900
102,244000
103,132000
104,194000
105,156500
106,156000
107,275000
108,145000
109,135000
110,60000
111,124000
112,127000
113,137500
114,213500
115,119000
116,107900
117,123000
118,112000
119,284000
120,133000
121,149000
122,169000
123,207000
124,175000
125,137000
126,236000
127,79500
128,144000
129,162900
130,185900
131,369900
132,197900
133,104000
134,35311
135,337500
136,367294
137,130250
138,230000
139,755000
140,403000
141,132000
142,178000
143,136500
144,145000
145,123000
146,250000
147,187100
148,133900
149,67000
150,137500
151,155000
152,200624
153,154300
154,91000
155,136000
156,108959
157,140000
158,86000
159,131400
160,179900
161,144000
162,293077
163,144500
164,118500
165,141000
166,239000
167,276000
168,556581
169,244400
170,360000
171,103200
172,102000
173,151000
174,285000
175,134432
176,113000
177,187500
178,125500
179,177500
180,179900
181,55993
182,132500
183,135000
184,255000
185,140000
186,271000
187,246578
188,202500
189,75000
190,122500
191,108480
192,160000
193,171000
194,196000
195,225000
196,197000
197,40000
198,172500
199,154900
200,280000
201,175000
202,147000
203,315000
204,185000
205,135500
206,239500
207,139000
208,140000
209,110000
210,225000
211,143500
212,128950
213,172500
214,241500
215,262500
216,194201
217,143000
218,130000
219,126000
220,142500
221,254000
222,217500
223,66500
224,201000
225,155000
226,68400
227,64500
228,173000
229,102776
230,84900
231,165600
232,120000
233,135000
234,220000
235,153575
236,195400
237,147000
238,277000
239,143000
240,105900
241,242000
242,194500
243,438780
244,185000
245,107500
246,165000
247,176000
248,129900
249,115000
250,192140
251,160000
252,145000
253,86000
254,158000
255,127500
256,115000
257,119500
258,175900
259,240000
260,395000
261,165000
262,128200
263,275000
264,311872
265,214000
266,153500
267,144000
268,115000
269,180000
270,465000
271,180000
272,253000
273,85000
274,101800
275,148500
276,137500
277,318061
278,143000
279,140000
280,192500
281,92000
282,197000
283,109500
284,297000
285,185750
286,230000
287,89471
288,260000
289,189000
290,108000
291,124500
292,145000
293,178000
294,85000
295,175000
296,127000
297,149900
298,174000
299,125500
300,175500
301,225000
302,129000
303,159950
304,157000
305,205000
306,140000
307,200000
308,217000
309,125000
310,159500
311,184000
312,96500
313,200000
314,149000
315,178900
316,184900
317,164700
318,335000
319,87500
320,233170
321,149350
322,133000
323,98000
324,207500
325,150000
326,134900
327,187750
328,149500
329,116050
330,153337
331,165000
332,130500
333,206300
334,146000
335,126500
336,139000
337,113000
338,79000
339,182000
340,188000
341,129000
342,160000
343,174000
344,219210
345,310000
346,374000
347,100000
348,250000
349,145000
350,325000
351,380000
352,275000
353,180000
354,245350
355,151500
356,134500
357,94000
358,216000
359,350000
360,195000
361,120000
362,228500
363,248000
364,124000
